subject,predicate,object
Cheese_cheddar,recommendedFor,Leukemia
Coronary_Vasospasm,22-rdf-syntax-ns#type,Disease
Cheese_oaxaca_solid,highIn,Calcium
Cookies_oatmeal_soft_with_raisins,contraindicatedFor,Metabolic_Syndrome
Spinach_baby,contraindicatedFor,Kidney_Diseases
Seeds_pumpkin_seeds_pepitas_raw,recommendedFor,Disease_Susceptibility
Peas_green_sweet_canned_sodium_added_sugar_added_drained_and_rinsed,contraindicatedFor,Myocardial_Infarction
Peas_green_sweet_canned_sodium_added_sugar_added_drained_and_rinsed,recommendedFor,Water_Electrolyte_Imbalance
Lentils_dry,contraindicatedFor,Gout
Peanut_butter_creamy,recommendedFor,Rhabdomyolysis
Cheese_cheddar,contraindicatedFor,Heart_Failure
Khorasan_grain_dry_raw,recommendedFor,Hypokalemia
Crustaceans_crab_blue_swimming_lump_pasteurized_refrigerated,recommendedFor,Inflammation
Mango_Ataulfo_peeled_raw,contraindicatedFor,Obesity
Beef_ground_80_lean_meat__20_fat_raw,recommendedFor,Cardiomyopathies
Bread_white_commercially_prepared,contraindicatedFor,Pre_Eclampsia
Flour_almond,recommendedFor,Osteoporosis__Postmenopausal
Cookies_oatmeal_soft_with_raisins,contraindicatedFor,Kidney_Diseases
Egg_whole_dried,recommendedFor,Cerebrovascular_Disorders
Nuts_almonds_whole_raw,recommendedFor,Hyperkinesis
Chickpeas_garbanzo_beans_bengal_gram_dry,contraindicatedFor,Hepatic_Encephalopathy
Khorasan_grain_dry_raw,highIn,Potassium
Flour_soy_fullfat,recommendedFor,Melanoma
Beans_Dry_Small_White_0_moisture,contraindicatedFor,Liver_Diseases
Cream_sour_full_fat,contraindicatedFor,Myocardial_Infarction
Peas_green_sweet_canned_sodium_added_sugar_added_drained_and_rinsed,contraindicatedFor,Kidney_Failure__Chronic
Mushroom_enoki,recommendedFor,Heart_Failure
Fish_tuna_light_canned_in_water_drained_solids,contraindicatedFor,Hypertension__Renal
Sesame_butter_creamy,contraindicatedFor,Constipation
Cheese_swiss,recommendedFor,Stomach_Ulcer
Egg_white_dried,contraindicatedFor,Hepatic_Encephalopathy
Egg_whole_raw_frozen_pasteurized,contraindicatedFor,Hyperparathyroidism__Secondary
